Time (s),Entropy
149.17,1.4178
149.21,1.6421
149.25,1.0575
149.28,1.7466
149.33,1.2525
149.35,1.5846
149.38,1.6131
149.41,1.2811
149.44,1.5269
149.49,1.5235
149.54,1.3799
149.58,1.4178
149.61,1.5647
149.66,1.4464
149.7,1.1573
149.75,1.3137
149.8,1.7067
149.85,1.5924
149.87,1.5293
149.91,1.6298
149.94,1.4101
149.96,1.4057
150.0,1.3659
150.06,1.3675
150.13,1.5639
150.17,1.6601
150.23,1.5267
150.26,1.5647
150.3,1.4011
150.33,1.2826
150.38,1.6341
150.41,1.5793
150.47,1.6449
150.5,1.3220
150.54,0.9976
150.6,0.9906
150.66,0.9710
150.74,1.6206
150.8,1.5235
150.83,1.6496
150.85,1.2933
150.91,1.5060
151.0,1.7032
151.05,1.6601
151.08,1.6835
151.13,1.2542
151.18,1.5727
151.24,1.5911
151.28,1.5235
151.33,1.5235
151.36,1.4101
151.42,1.4689
151.46,1.3421
151.5,1.5846
151.54,1.5452
151.59,1.2048
151.63,0.9994
151.68,1.0864
151.74,1.3354
151.77,1.2240
151.81,1.3421
151.86,1.4076
151.89,1.5417
151.92,1.5647
151.96,1.2647
152.0,1.5793
152.06,1.6102
152.13,1.6781
152.15,1.4007
152.21,1.6017
152.27,1.6171
152.31,1.6556
152.36,1.6960
152.39,1.3439
152.47,1.6815
152.52,1.6601
152.56,1.7466
152.64,1.2811
152.67,1.2454
152.69,1.2068
152.73,1.3575
152.76,1.4642
152.77,1.2728
152.82,1.4331
152.84,1.3631
152.87,1.3354
152.91,1.2811
152.93,1.4949
152.96,1.3907
153.0,1.4478
153.04,1.5333
153.08,1.5058
153.14,1.5518
153.19,1.5647
153.22,1.4689
153.28,1.4614
153.32,1.5491
153.38,1.6924
153.43,1.4510
153.49,0.9518
153.51,0.9710
153.54,0.7998
153.6,0.9906
153.66,0.9994
153.73,1.5452
153.78,1.5333
153.85,1.4981
153.89,1.4331
153.97,1.5911
154.02,1.8699
154.06,1.2068
154.08,1.6281
154.11,1.2675
154.15,1.4588
154.19,1.5726
154.25,1.4331
154.32,1.5834
154.35,1.5333
154.4,1.2504
154.45,1.6638
154.5,1.4666
154.55,1.0000
154.63,0.8981
154.68,1.0599
154.7,1.1375
154.77,1.6529
154.82,1.6171
154.84,1.3892
154.9,1.6976
154.94,1.4981
154.99,1.5560
155.05,1.6197
155.11,1.3439
155.17,1.7262
155.2,1.5235
155.26,1.4242
155.3,1.6815
155.35,1.6171
